site_id,stage,status,act_date,comment,report_link,percent
S01,1,актирован,2026-08-24,,data/acts/act_S01_stage1.docx,100
S01,2,не начат,,,,
S01,3,не начат,,,,
S01,4,не начат,,,,
S01,5,не начат,,,,
S02,1,актирован,2026-08-24,,data/acts/act_S02_stage1.docx,100
S02,2,не начат,,,,
S02,3,не начат,,,,
S02,4,не начат,,,,
S02,5,не начат,,,,
S03,1,актирован,2026-08-24,,data/acts/act_S03_stage1.docx,100
S03,2,не начат,,,,
S03,3,не начат,,,,
S03,4,не начат,,,,
S03,5,не начат,,,,
S04,1,не начат,,,,
S04,2,не начат,,,,
S04,3,не начат,,,,
S04,4,не начат,,,,
S04,5,не начат,,,,
S05,1,не начат,,,,
S05,2,не начат,,,,
S05,3,не начат,,,,
S05,4,не начат,,,,
S05,5,не начат,,,,
S06,1,не начат,,,,
S06,2,не начат,,,,
S06,3,не начат,,,,
S06,4,не начат,,,,
S06,5,не начат,,,,
S07,1,не начат,,,,
S07,2,не начат,,,,
S07,3,не начат,,,,
S07,4,не начат,,,,
S07,5,не начат,,,,
S08,1,не начат,,,,
S08,2,не начат,,,,
S08,3,не начат,,,,
S08,4,не начат,,,,
S08,5,не начат,,,,
S09,1,не начат,,,,
S09,2,не начат,,,,
S09,3,не начат,,,,
S09,4,не начат,,,,
S09,5,не начат,,,,
S10,1,подготовлен,,,,
S10,2,не начат,,,,
S10,3,не начат,,,,
S10,4,не начат,,,,
S10,5,не начат,,,,
S11,1,подготовлен,,,,
S11,2,не начат,,,,
S11,3,не начат,,,,
S11,4,не начат,,,,
S11,5,не начат,,,,
S12,1,актирован,2026-08-24,,,100
S12,2,не начат,,,,
S12,3,не начат,,,,
S12,4,не начат,,,,
S12,5,не начат,,,,
S14,1,не начат,,,,
S14,2,не начат,,,,
S14,3,не начат,,,,
S14,4,не начат,,,,
S14,5,не начат,,,,
S15,1,актирован,2026-08-24,,data/acts/act_S15_stage1.docx,100
S15,2,не начат,,,,
S15,3,не начат,,,,
S15,4,не начат,,,,
S15,5,не начат,,,,
S16,1,подготовлен,,,,
S16,2,не начат,,,,
S16,3,не начат,,,,
S16,4,не начат,,,,
S16,5,не начат,,,,
S17,1,не начат,,,,
S17,2,не начат,,,,
S17,3,не начат,,,,
S17,4,не начат,,,,
S17,5,не начат,,,,
S18,1,не начат,,,,
S18,2,не начат,,,,
S18,3,не начат,,,,
S18,4,не начат,,,,
S18,5,не начат,,,,
S19,1,не начат,,,,
S19,2,не начат,,,,
S19,3,не начат,,,,
S19,4,не начат,,,,
S19,5,не начат,,,,
S20,1,не начат,,,,
S20,2,не начат,,,,
S20,3,не начат,,,,
S20,4,не начат,,,,
S20,5,не начат,,,,
